"id","player_name","player_full_name","first_name","last_name","born_date","debut_date","debut_age","last_date","last_age","height","weight","profile_pic","player_link","player_common_names","player_teams"
43261,"Ryan Abbott","Ryan_Abbott","Ryan","Abbott","1991-06-25","2018-08-02",27,"2020-09-05",29,200,100,NULL,"https://afltables.com/afl/stats/players/R/Ryan_Abbott.html",NULL,"{Geelong Cats,St Kilda Saints}"
43262,"Gary Ablett","Gary_Ablett1","Gary","Ablett","1984-05-14","2002-03-30",17,"2020-10-24",36,182,87,NULL,"https://afltables.com/afl/stats/players/G/Gary_Ablett1.html",NULL,"{Geelong Cats,Gold Coast Suns}"
43276,"Leek Aleer","Leek_Aleer","Leek","Aleer","2001-08-21","2022-07-30",20,"2025-09-06",24,195,85,"https://res.cloudinary.com/dijzdikkh/image/upload/v1774442936/afl_player_images_v2/43276.webp","https://afltables.com/afl/stats/players/L/Leek_Aleer.html",NULL,NULL
43264,"Nathan Ablett","Nathan_Ablett","Nathan","Ablett","1985-12-13","2005-08-12",19,"2011-08-28",25,195,95,NULL,"https://afltables.com/afl/stats/players/N/Nathan_Ablett.html",NULL,"{Geelong Cats,Gold Coast Suns}"
43265,"Cain Ackland","Cain_Ackland","Cain","Ackland","1982-03-16","2001-03-30",19,"2008-05-16",26,196,101,NULL,"https://afltables.com/afl/stats/players/C/Cain_Ackland.html",NULL,"{Carlton Blues,Port Adelaide Power,St Kilda Saints}"
43266,"Blake Acres","Blake_Acres","Blake","Acres","1995-10-07","2014-05-02",18,"2025-08-20",29,191,90,"https://res.cloudinary.com/dijzdikkh/image/upload/v1774442932/afl_player_images_v2/43266.webp","https://afltables.com/afl/stats/players/B/Blake_Acres.html",NULL,"{Carlton Blues,Fremantle Dockers,St Kilda Saints}"
43268,"Leigh Adams","Leigh_Adams","Leigh","Adams","1988-04-06","2007-04-29",19,"2014-08-30",26,176,79,NULL,"https://afltables.com/afl/stats/players/L/Leigh_Adams.html",NULL,"{North Melbourne Kangaroos}"
43269,"Taylor Adams","Taylor_Adams","Taylor","Adams","1993-09-20","2012-04-28",18,"2025-06-06",31,181,83,"https://res.cloudinary.com/dijzdikkh/image/upload/v1774442933/afl_player_images_v2/43269.webp","https://afltables.com/afl/stats/players/T/Taylor_Adams.html",NULL,"{Collingwood Magpies,Greater Western Sydney Giants,Sydney Swans}"
43270,"Jed Adcock","Jed_Adcock","Jed","Adcock","1985-11-15","2004-05-08",18,"2016-07-29",30,183,83,NULL,"https://afltables.com/afl/stats/players/J/Jed_Adcock.html",NULL,"{Brisbane Lions,Western Bulldogs}"
43271,"Dylan Addison","Dylan_Addison","Dylan","Addison","1987-10-07","2006-08-18",18,"2014-05-31",26,184,84,NULL,"https://afltables.com/afl/stats/players/D/Dylan_Addison.html",NULL,"{Greater Western Sydney Giants,Western Bulldogs}"
43273,"Ben Ainsworth","Ben_Ainsworth","Ben","Ainsworth","1998-02-10","2017-03-24",19,"2025-09-12",27,178,77,"https://res.cloudinary.com/dijzdikkh/image/upload/v1774442935/afl_player_images_v2/43273.webp","https://afltables.com/afl/stats/players/B/Ben_Ainsworth.html",NULL,"{Gold Coast Suns}"
43261,"Ryan Abbott","Ryan_Abbott","Ryan","Abbott","1991-06-25","2018-08-02",27,"2020-09-05",29,200,100,NULL,"https://afltables.com/afl/stats/players/R/Ryan_Abbott.html",NULL,"{Geelong Cats,St Kilda Saints}"
43275,"James Aish","James_Aish","James","Aish","1995-11-08","2014-03-21",18,"2025-06-18",29,183,80,NULL,"https://afltables.com/afl/stats/players/J/James_Aish.html",NULL,"{Brisbane Lions,Collingwood Magpies,Fremantle Dockers}"
43277,"Aliir Aliir","Aliir_Aliir","Aliir","Aliir","1994-09-05","2016-05-01",21,"2025-08-21",30,195,97,"https://res.cloudinary.com/dijzdikkh/image/upload/v1774442937/afl_player_images_v2/43277.webp","https://afltables.com/afl/stats/players/A/Aliir_Aliir.html",NULL,"{Port Adelaide Power,Sydney Swans}"
43278,"Marcus Allan","Marcus_Allan","Marcus","Allan","1986-05-23","2006-08-12",20,"2007-06-09",21,180,75,NULL,"https://afltables.com/afl/stats/players/M/Marcus_Allan.html",NULL,"{Brisbane Lions}"
43279,"Jackson Allen","Jackson_Allen","Jackson","Allen","1993-04-14","2012-08-10",19,"2013-08-25",20,179,79,NULL,"https://afltables.com/afl/stats/players/J/Jackson_Allen.html",NULL,"{Gold Coast Suns}"
43282,"Jacob Allison","Jacob_Allison","Jacob","Allison","1998-04-16","2017-07-29",19,"2019-06-22",21,193,82,NULL,"https://afltables.com/afl/stats/players/J/Jacob_Allison.html",NULL,"{Brisbane Lions}"
43283,"Joel Amartey","Joel_Amartey","Joel","Amartey","1999-09-02","2020-09-12",21,"2025-07-05",25,197,96,"https://res.cloudinary.com/dijzdikkh/image/upload/v1774442940/afl_player_images_v2/43283.webp","https://afltables.com/afl/stats/players/J/Joel_Amartey.html",NULL,"{Sydney Swans}"
43284,"Patrick Ambrose","Patrick_Ambrose","Patrick","Ambrose","1991-09-01","2014-03-20",22,"2021-06-04",29,191,92,NULL,"https://afltables.com/afl/stats/players/P/Patrick_Ambrose.html",NULL,"{Essendon Bombers}"
43262,"Gary Ablett","Gary_Ablett1","Gary","Ablett","1984-05-14","2002-03-30",17,"2020-10-24",36,182,87,NULL,"https://afltables.com/afl/stats/players/G/Gary_Ablett1.html",NULL,"{Geelong Cats,Gold Coast Suns}"
