player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played
43261,2018,Geelong Cats,FALSE,3,17,9,21,38,3,2,82,18,2,2,8,10,2,6,0,20,20,1,5,13,0,1,20,278,253,5.7,3,7,12.7,1,0.7,27.3,6,0.7,0.7,2.7,3.3,0.7,2,6.7,6.7,0.3,1.7,4.3,0,0.3,6.7,92.7,84.3
43261,2018,Geelong Cats,TRUE,1,3,2,2,5,0,1,27,5,0,0,0,3,0,2,0,2,3,1,1,5,0,0,1,61,81,3,2,2,5,0,1,27,5,0,0,0,3,0,2,2,3,1,1,5,0,0,1,61,81
43261,2019,Geelong Cats,FALSE,1,5,3,6,11,1,0,24,4,1,2,3,4,1,3,0,6,8,0,1,3,0,0,6,74,83,5,3,6,11,1,0,24,4,1,2,3,4,1,3,6,8,0,1,3,0,0,6,74,83
43261,2020,St Kilda Saints,FALSE,1,2,2,1,3,1,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,6,22,54,2,2,1,3,1,0,2,0,0,1,0,0,0,0,0,3,0,1,0,0,0,6,22,54
43262,2002,Geelong Cats,FALSE,12,37,13,63,100,10,3,0,25,1,17,13,11,7,1,0,68,36,3,3,12,2,0,63,443,NULL,3.1,1.1,5.3,8.3,0.8,0.3,0,2.1,0.1,1.4,1.1,0.9,0.6,0.1,5.7,3,0.3,0.3,1,0.2,0,5.3,36.9,NULL
43262,2003,Geelong Cats,FALSE,22,189,61,138,327,26,20,0,77,14,89,50,35,21,11,3,185,163,6,11,42,30,11,176,1498,2061,8.6,2.8,6.3,14.9,1.2,0.9,0,3.5,0.6,4,2.3,1.6,1,0.5,8.4,7.4,0.3,0.5,1.9,1.4,0.5,8,68.1,93.7
43261,2018,Geelong Cats,FALSE,3,17,9,21,38,3,2,82,18,2,2,8,10,2,6,0,20,20,1,5,13,0,1,20,278,253,5.7,3,7,12.7,1,0.7,27.3,6,0.7,0.7,2.7,3.3,0.7,2,6.7,6.7,0.3,1.7,4.3,0,0.3,6.7,92.7,84.3
43261,2018,Geelong Cats,TRUE,1,3,2,2,5,0,1,27,5,0,0,0,3,0,2,0,2,3,1,1,5,0,0,1,61,81,3,2,2,5,0,1,27,5,0,0,0,3,0,2,2,3,1,1,5,0,0,1,61,81
43261,2019,Geelong Cats,FALSE,1,5,3,6,11,1,0,24,4,1,2,3,4,1,3,0,6,8,0,1,3,0,0,6,74,83,5,3,6,11,1,0,24,4,1,2,3,4,1,3,6,8,0,1,3,0,0,6,74,83
43261,2020,St Kilda Saints,FALSE,1,2,2,1,3,1,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,6,22,54,2,2,1,3,1,0,2,0,0,1,0,0,0,0,0,3,0,1,0,0,0,6,22,54
43262,2002,Geelong Cats,FALSE,12,37,13,63,100,10,3,0,25,1,17,13,11,7,1,0,68,36,3,3,12,2,0,63,443,NULL,3.1,1.1,5.3,8.3,0.8,0.3,0,2.1,0.1,1.4,1.1,0.9,0.6,0.1,5.7,3,0.3,0.3,1,0.2,0,5.3,36.9,NULL
43262,2003,Geelong Cats,FALSE,22,189,61,138,327,26,20,0,77,14,89,50,35,21,11,3,185,163,6,11,42,30,11,176,1498,2061,8.6,2.8,6.3,14.9,1.2,0.9,0,3.5,0.6,4,2.3,1.6,1,0.5,8.4,7.4,0.3,0.5,1.9,1.4,0.5,8,68.1,93.7
43262,2004,Geelong Cats,FALSE,18,148,38,103,251,31,24,0,79,10,49,38,37,13,24,3,152,96,11,15,25,9,15,210,1231,1676,8.2,2.1,5.7,13.9,1.7,1.3,0,4.4,0.6,2.7,2.1,2.1,0.7,1.3,8.4,5.3,0.6,0.8,1.4,0.5,0.8,11.7,68.4,93.1
43262,2004,Geelong Cats,TRUE,3,30,8,20,50,4,1,0,14,2,14,11,8,1,3,0,22,22,0,2,5,4,2,25,227,290,10,2.7,6.7,16.7,1.3,0.3,0,4.7,0.7,4.7,3.7,2.7,0.3,1,7.3,7.3,0,0.7,1.7,1.3,0.7,8.3,75.7,96.7
43262,2005,Geelong Cats,FALSE,22,236,60,172,408,26,24,0,74,20,90,50,41,22,19,3,194,209,8,13,32,14,17,180,1673,2096,10.7,2.7,7.8,18.5,1.2,1.1,0,3.4,0.9,4.1,2.3,1.9,1,0.9,8.8,9.5,0.4,0.6,1.5,0.6,0.8,8.2,76,95.3
43262,2005,Geelong Cats,TRUE,2,21,5,6,27,3,2,0,12,1,11,4,4,1,3,0,14,14,0,1,1,1,0,20,150,176,10.5,2.5,3,13.5,1.5,1,0,6,0.5,5.5,2,2,0.5,1.5,7,7,0,0.5,0.5,0.5,0,10,75,88
43262,2006,Geelong Cats,FALSE,21,212,74,142,354,35,28,0,65,8,70,35,44,22,15,5,163,186,4,18,30,20,17,238,1617,1850,10.1,3.5,6.8,16.9,1.7,1.3,0,3.1,0.4,3.3,1.7,2.1,1,0.7,7.8,8.9,0.2,0.9,1.4,1,0.8,11.3,77,88.1
43262,2007,Geelong Cats,FALSE,22,315,87,270,585,26,23,0,68,47,130,81,70,34,21,20,215,371,9,11,33,67,18,179,2168,1979,14.3,4,12.3,26.6,1.2,1,0,3.1,2.1,5.9,3.7,3.2,1.5,1,9.8,16.9,0.4,0.5,1.5,3,0.8,8.1,98.5,90
43262,2007,Geelong Cats,TRUE,3,43,11,39,82,4,3,0,18,5,17,19,7,8,1,0,39,45,1,2,5,11,0,27,344,266,14.3,3.7,13,27.3,1.3,1,0,6,1.7,5.7,6.3,2.3,2.7,0.3,13,15,0.3,0.7,1.7,3.7,0,9,114.7,88.7
43263,2006,SYDNEY SWANS,TRUE,3,29,7,12,41,0,1,3,5,5,6,10,8,1,3,0,19,19,1,0,2,0,0,1,148,195,9.7,2.3,4,13.7,0,0.3,1,1.7,1.7,2,3.3,2.7,0.3,1,6.3,6.3,0.3,0,0.7,0,0,0.3,49.3,65
43262,2008,Geelong Cats,FALSE,18,246,84,262,508,23,22,0,86,24,101,88,46,38,15,22,207,307,7,12,15,48,16,160,2011,1540,13.7,4.7,14.6,28.2,1.3,1.2,0,4.8,1.3,5.6,4.9,2.6,2.1,0.8,11.5,17.1,0.4,0.7,0.8,2.7,0.9,8.9,111.7,85.6
43262,2008,Geelong Cats,TRUE,3,42,16,56,98,3,2,0,9,2,21,15,7,6,4,0,34,64,1,0,5,7,3,20,336,270,14,5.3,18.7,32.7,1,0.7,0,3,0.7,7,5,2.3,2,1.3,11.3,21.3,0.3,0,1.7,2.3,1,6.7,112,90
43262,2009,Geelong Cats,FALSE,19,252,81,402,654,24,20,0,83,36,67,87,49,21,21,30,260,400,18,22,23,28,14,164,2257,1710,13.3,4.3,21.2,34.4,1.3,1.1,0,4.4,1.9,3.5,4.6,2.6,1.1,1.1,13.7,21.1,0.9,1.2,1.2,1.5,0.7,8.6,118.8,90
43262,2009,Geelong Cats,TRUE,3,47,12,43,90,3,6,0,9,11,12,20,7,6,3,0,35,55,3,2,6,8,2,24,320,270,15.7,4,14.3,30,1,2,0,3,3.7,4,6.7,2.3,2,1,11.7,18.3,1,0.7,2,2.7,0.7,8,106.7,90
43262,2010,Geelong Cats,FALSE,21,300,97,359,659,44,23,0,88,27,101,107,64,21,23,26,277,386,14,26,23,27,13,287,2500,1892,14.3,4.6,17.1,31.4,2.1,1.1,0,4.2,1.3,4.8,5.1,3,1,1.1,13.2,18.4,0.7,1.2,1.1,1.3,0.6,13.7,119,90.1
43262,2010,Geelong Cats,TRUE,3,38,9,59,97,0,3,0,13,4,19,22,7,1,3,0,40,58,0,1,2,4,2,3,306,268,12.7,3,19.7,32.3,0,1,0,4.3,1.3,6.3,7.3,2.3,0.3,1,13.3,19.3,0,0.3,0.7,1.3,0.7,1,102,89.3
43262,2011,Gold Coast Suns,FALSE,20,304,45,301,605,18,17,0,119,62,99,133,51,38,15,23,295,318,4,6,30,22,15,125,2243,1773,15.2,2.3,15.1,30.3,0.9,0.9,0,6,3.1,5,6.7,2.6,1.9,0.8,14.8,15.9,0.2,0.3,1.5,1.1,0.8,6.3,112.2,88.7
43262,2012,Gold Coast Suns,FALSE,20,389,61,286,675,26,19,0,110,61,101,132,81,41,28,24,298,368,14,13,32,31,19,175,2494,1849,19.5,3.1,14.3,33.8,1.3,1,0,5.5,3.1,5.1,6.6,4.1,2.1,1.4,14.9,18.4,0.7,0.7,1.6,1.6,1,8.8,124.7,92.5
