id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,home_win
15808,North Melbourne Kangaroos,QF,1994-09-10,1994,H,Hawthorn Hawks,2.3 6.12 9.12 12.19 13.23 15.24,114,4.5 5.7 10.11 13.13 13.13 13.13,91,W,23,Waverley Park,38223.0,15,24,13,13,1
8874,Sydney Swans,12,2019-06-09,2019,H,West Coast Eagles,4.1 9.6 14.7 18.8,116,3.2 6.3 7.8 10.11,71,W,45,Sydney Cricket Ground,36640.0,18,8,10,11,1
9628,W. Bulldogs,9,2000-05-05,2000,H,St Kilda Saints,3.5 9.5 10.7 16.9,105,4.1 7.5 15.8 16.8,104,W,1,Marvel Stadium,35505.0,16,9,16,8,1
9631,W. Bulldogs,12,2000-05-28,2000,H,Melbourne Demons,3.3 4.6 10.7 16.12,108,6.3 10.4 12.5 13.5,83,W,25,Marvel Stadium,26180.0,16,12,13,5,1
9634,W. Bulldogs,15,2000-06-18,2000,H,North Melbourne Kangaroos,3.4 7.6 13.9 16.10,106,5.2 11.7 13.9 15.12,102,W,4,Marvel Stadium,27695.0,16,10,15,12,1
9639,W. Bulldogs,20,2000-07-22,2000,H,Collingwood Magpies,3.2 9.5 14.9 15.10,100,2.3 4.6 8.11 13.13,91,W,9,Marvel Stadium,30342.0,15,10,13,13,1
9641,W. Bulldogs,22,2000-08-04,2000,H,Hawthorn Hawks,3.2 5.3 7.8 9.12,66,3.3 7.8 10.11 11.15,81,L,-15,Marvel Stadium,45527.0,9,12,11,15,0
9643,W. Bulldogs,1,2001-03-31,2001,H,St Kilda Saints,2.4 10.6 14.9 16.11,107,5.5 9.6 15.11 16.16,112,L,-5,Marvel Stadium,30047.0,16,11,16,16,0
9659,W. Bulldogs,17,2001-07-27,2001,H,Richmond Tigers,5.3 7.5 12.8 15.10,100,4.4 8.9 11.10 15.12,102,L,-2,Marvel Stadium,43595.0,15,10,15,12,0
9664,W. Bulldogs,22,2001-09-02,2001,H,Melbourne Demons,4.3 10.3 12.5 19.9,123,4.1 9.3 17.6 21.7,133,L,-10,Marvel Stadium,21146.0,19,9,21,7,0
9665,W. Bulldogs,1,2002-03-31,2002,H,Adelaide Crows,4.5 8.9 10.15 12.21,93,3.5 9.9 12.12 16.16,112,L,-19,Marvel Stadium,18475.0,12,21,16,16,0
9668,W. Bulldogs,4,2002-04-20,2002,H,Brisbane Lions,0.1 5.2 10.4 12.6,78,2.3 6.6 11.7 14.10,94,L,-16,Marvel Stadium,23928.0,12,6,14,10,0
10653,Brisbane Lions,2,1997-04-06,1997,H,St Kilda Saints,7.3 14.7 19.10 23.16,154,1.2 4.4 5.8 7.15,57,W,97,The Gabba,17123.0,23,16,7,15,1
10655,Brisbane Lions,4,1997-04-20,1997,H,North Melbourne Kangaroos,2.6 8.11 10.14 15.19,109,1.3 3.5 10.7 12.11,83,W,26,The Gabba,18575.0,15,19,12,11,1
10658,Brisbane Lions,7,1997-05-11,1997,H,West Coast Eagles,2.5 4.8 7.12 8.12,60,3.3 6.6 13.7 21.13,139,L,-79,The Gabba,17524.0,8,12,21,13,0
10660,Brisbane Lions,9,1997-05-25,1997,H,Geelong Cats,4.4 12.9 15.9 19.12,126,4.3 5.3 12.6 15.8,98,W,28,The Gabba,19828.0,19,12,15,8,1
10661,Brisbane Lions,10,1997-06-01,1997,H,Sydney Swans,1.3 5.9 9.11 13.14,92,3.2 6.4 8.10 13.11,89,W,3,The Gabba,20403.0,13,14,13,11,1
